scenario,trial,milliseconds
cold-start-3,0,160.550
cold-start-3,1,160.570
cold-start-3,2,160.626
cold-start-3,3,160.710
cold-start-3,4,160.764
cold-start-3,5,160.924
cold-start-3,6,161.055
cold-start-3,7,161.082
cold-start-3,8,161.220
cold-start-3,9,161.305
cold-start-3,10,161.325
cold-start-3,11,161.325
cold-start-3,12,161.351
cold-start-3,13,161.365
cold-start-3,14,161.372
cold-start-3,15,161.436
cold-start-3,16,161.464
cold-start-3,17,161.554
cold-start-3,18,161.664
cold-start-3,19,161.834
cold-start-3,20,170.333
cold-start-3,21,170.434
cold-start-3,22,170.438
cold-start-3,23,170.451
cold-start-3,24,170.463
cold-start-3,25,170.536
cold-start-3,26,170.600
cold-start-3,27,170.643
cold-start-3,28,170.808
cold-start-3,29,170.856
cold-start-3,30,170.879
cold-start-3,31,170.914
cold-start-3,32,170.980
cold-start-3,33,171.058
cold-start-3,34,171.058
cold-start-3,35,171.246
cold-start-3,36,171.283
cold-start-3,37,171.305
cold-start-3,38,171.315
cold-start-3,39,171.330
cold-start-3,40,180.437
cold-start-3,41,180.545
cold-start-3,42,180.750
cold-start-3,43,180.810
cold-start-3,44,180.821
cold-start-3,45,180.900
cold-start-3,46,181.088
cold-start-3,47,181.121
cold-start-3,48,181.219
cold-start-3,49,181.308
cold-start-3,50,181.353
cold-start-3,51,181.372
cold-start-3,52,181.395
cold-start-3,53,188.368
cold-start-3,54,190.473
cold-start-3,55,190.523
cold-start-3,56,190.637
cold-start-3,57,190.755
cold-start-3,58,190.801
cold-start-3,59,190.804
cold-start-3,60,190.906
cold-start-3,61,191.135
cold-start-3,62,191.200
cold-start-3,63,191.300
cold-start-3,64,191.355
cold-start-3,65,191.355
cold-start-3,66,191.508
cold-start-3,67,200.240
cold-start-3,68,200.715
cold-start-3,69,200.789
cold-start-3,70,200.858
cold-start-3,71,201.174
cold-start-3,72,201.292
cold-start-3,73,201.295
cold-start-3,74,201.325
cold-start-3,75,201.363
cold-start-3,76,201.456
cold-start-3,77,210.342
cold-start-3,78,210.520
cold-start-3,79,210.735
cold-start-3,80,211.260
cold-start-3,81,211.279
cold-start-3,82,211.487
cold-start-3,83,211.822
cold-start-3,84,220.562
cold-start-3,85,220.799
cold-start-3,86,221.358
cold-start-3,87,221.603
cold-start-3,88,230.544
cold-start-3,89,240.842
cold-start-3,90,240.960
cold-start-3,91,241.276
cold-start-3,92,250.456
cold-start-3,93,251.235
cold-start-3,94,251.237
cold-start-3,95,260.822
cold-start-3,96,261.030
cold-start-3,97,261.328
cold-start-3,98,261.561
cold-start-3,99,281.121
cold-start-5,0,160.318
cold-start-5,1,160.456
cold-start-5,2,160.459
cold-start-5,3,160.517
cold-start-5,4,160.520
cold-start-5,5,160.545
cold-start-5,6,160.565
cold-start-5,7,160.598
cold-start-5,8,160.603
cold-start-5,9,160.626
cold-start-5,10,160.673
cold-start-5,11,160.681
cold-start-5,12,160.692
cold-start-5,13,160.742
cold-start-5,14,160.765
cold-start-5,15,160.790
cold-start-5,16,160.832
cold-start-5,17,160.919
cold-start-5,18,160.972
cold-start-5,19,161.003
cold-start-5,20,161.005
cold-start-5,21,161.058
cold-start-5,22,161.116
cold-start-5,23,161.179
cold-start-5,24,161.209
cold-start-5,25,161.218
cold-start-5,26,161.227
cold-start-5,27,161.244
cold-start-5,28,161.304
cold-start-5,29,161.340
cold-start-5,30,161.356
cold-start-5,31,161.357
cold-start-5,32,161.373
cold-start-5,33,161.414
cold-start-5,34,161.428
cold-start-5,35,161.450
cold-start-5,36,170.483
cold-start-5,37,170.531
cold-start-5,38,170.576
cold-start-5,39,170.586
cold-start-5,40,170.594
cold-start-5,41,170.602
cold-start-5,42,170.606
cold-start-5,43,170.758
cold-start-5,44,170.761
cold-start-5,45,170.778
cold-start-5,46,170.828
cold-start-5,47,170.843
cold-start-5,48,171.010
cold-start-5,49,171.116
cold-start-5,50,171.146
cold-start-5,51,171.201
cold-start-5,52,171.215
cold-start-5,53,171.287
cold-start-5,54,171.304
cold-start-5,55,171.338
cold-start-5,56,171.404
cold-start-5,57,171.474
cold-start-5,58,171.590
cold-start-5,59,180.454
cold-start-5,60,180.716
cold-start-5,61,180.849
cold-start-5,62,180.958
cold-start-5,63,181.201
cold-start-5,64,181.282
cold-start-5,65,181.284
cold-start-5,66,181.350
cold-start-5,67,181.400
cold-start-5,68,181.713
cold-start-5,69,190.504
cold-start-5,70,190.611
cold-start-5,71,191.146
cold-start-5,72,191.188
cold-start-5,73,191.228
cold-start-5,74,191.232
cold-start-5,75,191.247
cold-start-5,76,191.352
cold-start-5,77,191.356
cold-start-5,78,191.377
cold-start-5,79,200.472
cold-start-5,80,200.496
cold-start-5,81,200.527
cold-start-5,82,200.586
cold-start-5,83,200.636
cold-start-5,84,200.742
cold-start-5,85,201.347
cold-start-5,86,201.357
cold-start-5,87,201.599
cold-start-5,88,210.664
cold-start-5,89,210.956
cold-start-5,90,210.959
cold-start-5,91,211.258
cold-start-5,92,211.271
cold-start-5,93,211.330
cold-start-5,94,211.627
cold-start-5,95,221.041
cold-start-5,96,221.384
cold-start-5,97,230.657
cold-start-5,98,241.351
cold-start-5,99,251.462
failover-5,0,156.533
failover-5,1,156.571
failover-5,2,156.628
failover-5,3,156.688
failover-5,4,156.721
failover-5,5,156.896
failover-5,6,156.972
failover-5,7,157.087
failover-5,8,157.114
failover-5,9,157.181
failover-5,10,157.202
failover-5,11,157.279
failover-5,12,157.298
failover-5,13,157.353
failover-5,14,157.422
failover-5,15,157.428
failover-5,16,157.428
failover-5,17,157.586
failover-5,18,157.649
failover-5,19,157.676
failover-5,20,157.766
failover-5,21,158.442
failover-5,22,159.815
failover-5,23,166.623
failover-5,24,166.725
failover-5,25,166.775
failover-5,26,166.879
failover-5,27,167.144
failover-5,28,167.271
failover-5,29,167.281
failover-5,30,167.435
failover-5,31,167.506
failover-5,32,167.613
failover-5,33,167.635
failover-5,34,168.121
failover-5,35,168.564
