link,path,trial,milliseconds
loopback,barrier,0,1.1778
loopback,barrier,1,1.1373
loopback,barrier,2,1.1176
loopback,barrier,3,1.1540
loopback,barrier,4,1.0996
loopback,barrier,5,1.1551
loopback,barrier,6,1.1558
loopback,barrier,7,1.1190
loopback,barrier,8,1.1485
loopback,barrier,9,1.1332
loopback,barrier,10,1.1232
loopback,barrier,11,1.1923
loopback,barrier,12,1.1213
loopback,barrier,13,1.1250
loopback,barrier,14,1.1394
loopback,barrier,15,1.1412
loopback,barrier,16,1.1159
loopback,barrier,17,1.1556
loopback,barrier,18,1.1406
loopback,barrier,19,1.1276
loopback,barrier,20,1.1302
loopback,barrier,21,1.1044
loopback,barrier,22,1.1246
loopback,barrier,23,1.1732
loopback,barrier,24,1.1485
loopback,barrier,25,1.1550
loopback,barrier,26,1.1302
loopback,barrier,27,1.2899
loopback,barrier,28,1.1284
loopback,barrier,29,1.1536
loopback,barrier,30,1.0828
loopback,barrier,31,1.1511
loopback,barrier,32,1.1460
loopback,barrier,33,1.1572
loopback,barrier,34,1.1654
loopback,barrier,35,1.1405
loopback,barrier,36,1.0268
loopback,barrier,37,1.1102
loopback,barrier,38,1.1212
loopback,barrier,39,1.1023
loopback,barrier,40,1.0579
loopback,barrier,41,1.1370
loopback,barrier,42,1.1487
loopback,barrier,43,1.1322
loopback,barrier,44,1.1164
loopback,barrier,45,1.1562
loopback,barrier,46,1.1555
loopback,barrier,47,1.1258
loopback,barrier,48,1.1105
loopback,barrier,49,1.1253
loopback,lease,0,0.0585
loopback,lease,1,0.0040
loopback,lease,2,0.0040
loopback,lease,3,0.0031
loopback,lease,4,0.0035
loopback,lease,5,0.0025
loopback,lease,6,0.0035
loopback,lease,7,0.0031
loopback,lease,8,0.0037
loopback,lease,9,0.0028
loopback,lease,10,0.0026
loopback,lease,11,0.0032
loopback,lease,12,0.0025
loopback,lease,13,0.0025
loopback,lease,14,0.0030
loopback,lease,15,0.0028
loopback,lease,16,0.0029
loopback,lease,17,0.0023
loopback,lease,18,0.0024
loopback,lease,19,0.0024
loopback,lease,20,0.0025
loopback,lease,21,0.0032
loopback,lease,22,0.0305
loopback,lease,23,0.0029
loopback,lease,24,0.0029
loopback,lease,25,0.0025
loopback,lease,26,0.0025
loopback,lease,27,0.0027
loopback,lease,28,0.0049
loopback,lease,29,0.0033
loopback,lease,30,0.0031
loopback,lease,31,0.0026
loopback,lease,32,0.0027
loopback,lease,33,0.0031
loopback,lease,34,0.0027
loopback,lease,35,0.0027
loopback,lease,36,0.0031
loopback,lease,37,0.0030
loopback,lease,38,0.0028
loopback,lease,39,0.0025
loopback,lease,40,0.0032
loopback,lease,41,0.0026
loopback,lease,42,0.0027
loopback,lease,43,0.0032
loopback,lease,44,0.0028
loopback,lease,45,0.0025
loopback,lease,46,0.0024
loopback,lease,47,0.0028
loopback,lease,48,0.0028
loopback,lease,49,0.0028
lan-5ms,barrier,0,5.5933
lan-5ms,barrier,1,5.6257
lan-5ms,barrier,2,5.6443
lan-5ms,barrier,3,5.4670
lan-5ms,barrier,4,5.5936
lan-5ms,barrier,5,5.5564
lan-5ms,barrier,6,5.5195
lan-5ms,barrier,7,5.6237
lan-5ms,barrier,8,5.4882
lan-5ms,barrier,9,5.6165
lan-5ms,barrier,10,5.4615
lan-5ms,barrier,11,5.5935
lan-5ms,barrier,12,5.5595
lan-5ms,barrier,13,5.6123
lan-5ms,barrier,14,5.5531
lan-5ms,barrier,15,5.5455
lan-5ms,barrier,16,5.6240
lan-5ms,barrier,17,5.5062
lan-5ms,barrier,18,5.6258
lan-5ms,barrier,19,5.4975
lan-5ms,barrier,20,5.6395
lan-5ms,barrier,21,5.4864
lan-5ms,barrier,22,5.6040
lan-5ms,barrier,23,5.4863
lan-5ms,barrier,24,5.5561
lan-5ms,barrier,25,5.6418
lan-5ms,barrier,26,5.5358
lan-5ms,barrier,27,5.5731
lan-5ms,barrier,28,5.4931
lan-5ms,barrier,29,5.6455
lan-5ms,barrier,30,5.4940
lan-5ms,barrier,31,5.6701
lan-5ms,barrier,32,5.5525
lan-5ms,barrier,33,5.6614
lan-5ms,barrier,34,5.4042
lan-5ms,barrier,35,5.5925
lan-5ms,barrier,36,5.5162
lan-5ms,barrier,37,5.5025
lan-5ms,barrier,38,5.7175
lan-5ms,barrier,39,5.5875
lan-5ms,barrier,40,5.5581
lan-5ms,barrier,41,5.5449
lan-5ms,barrier,42,5.6148
lan-5ms,barrier,43,5.5314
lan-5ms,barrier,44,5.5464
lan-5ms,barrier,45,5.5510
lan-5ms,barrier,46,5.6010
lan-5ms,barrier,47,5.6036
lan-5ms,barrier,48,5.6117
lan-5ms,barrier,49,5.6328
lan-5ms,lease,0,0.0029
lan-5ms,lease,1,0.0017
lan-5ms,lease,2,0.0036
lan-5ms,lease,3,0.0010
lan-5ms,lease,4,0.0008
lan-5ms,lease,5,0.0007
lan-5ms,lease,6,0.0011
lan-5ms,lease,7,0.0007
lan-5ms,lease,8,0.0011
lan-5ms,lease,9,0.0008
lan-5ms,lease,10,0.0008
lan-5ms,lease,11,0.0009
lan-5ms,lease,12,0.0008
lan-5ms,lease,13,0.0008
lan-5ms,lease,14,0.0008
lan-5ms,lease,15,0.0008
lan-5ms,lease,16,0.0012
lan-5ms,lease,17,0.0009
lan-5ms,lease,18,0.0009
lan-5ms,lease,19,0.0010
lan-5ms,lease,20,0.0010
lan-5ms,lease,21,0.0012
lan-5ms,lease,22,0.0011
lan-5ms,lease,23,0.0009
lan-5ms,lease,24,0.0011
lan-5ms,lease,25,0.0013
lan-5ms,lease,26,0.0012
lan-5ms,lease,27,0.0013
